os,version,mean_distance,median_distance,std_distance,mean_error
Linux,1.2.0,137.1659125,85.72783677,161.9539911,79.16591251
Linux,1.2.1,136.4550822,85.41283424,161.6981303,78.45508221
Linux,1.2.2,136.9657357,86.83022437,157.9398616,78.96573569
Linux,1.3.0,136.8655837,85.65377829,162.1219615,78.8655837
Linux,1.3.1,137.5314391,85.955015,162.1063861,79.53143909
Linux,1.4.0,137.0702964,85.67454704,161.896084,79.07029636
Linux,1.4.1,137.244204,85.77576155,161.7602418,79.24420399
Linux,1.4.2,136.4372058,85.85042861,158.1908599,78.43720584
Linux,1.4.3,136.6985914,85.53279152,161.447889,78.69859143
Linux,1.4.4,136.4737415,85.39442055,160.9547187,78.47374154
Linux,1.4.5,136.734567,85.56344645,161.375905,78.73456704
Linux,1.4.6,136.6873677,85.55422858,161.2132639,78.68736771
Linux,1.4.7,136.3062691,85.25731694,162.6032606,78.30626911
Linux,1.5.1,135.0303057,84.65258036,160.1161796,77.0303057
Linux,1.5.3,136.1912994,85.30827413,160.5058769,78.19129935
Linux,1.5.4,136.1834643,85.27963098,160.0672174,78.18346433
Linux,1.6.0,58.00787586,58.07475737,0.981988123,0.007875863
Linux,1.6.1,58.04511361,58.08268581,0.975931752,0.045113608
Linux,1.6.2,58.06129624,58.11158345,0.992606977,0.061296238
Linux,1.6.3,57.99049774,58.05652691,0.957873111,-0.009502261
macOS,1.2.0,120.5564851,87.09504696,160.8508056,62.55648511
macOS,1.2.1,120.5882239,87.1308519,160.8619471,62.58822389
macOS,1.2.2,120.5786148,87.11942996,160.8742867,62.57861476
macOS,1.3.0,120.5776695,87.12395558,160.7987848,62.57766954
macOS,1.3.1,120.567841,87.11540424,160.7942176,62.56784104
macOS,1.4.0,120.5933584,87.13508913,160.8673389,62.59335843
macOS,1.4.1,120.586529,87.12959735,160.8585454,62.58652902
macOS,1.4.2,120.5806635,87.12114665,160.8733097,62.5806635
macOS,1.4.3,120.5807553,87.12792503,160.7946022,62.58075527
macOS,1.4.4,120.5819985,87.12178744,160.8786127,62.58199847
macOS,1.4.5,120.5607187,87.11055544,160.7798159,62.56071865
macOS,1.4.6,120.5539537,87.09248302,160.8504308,62.55395367
macOS,1.4.7,120.6036479,87.14033672,160.9196291,62.60364792
macOS,1.5.1,120.5695756,87.11824242,160.7869529,62.56957558
macOS,1.5.3,120.5951622,87.13562214,160.8747511,62.59516224
macOS,1.5.4,120.5855847,87.12504628,160.8824904,62.58558473
macOS,1.6.0,58.05638804,58.10470142,0.988123189,0.056388035
macOS,1.6.1,58.05689515,58.1052855,0.977694725,0.056895145
macOS,1.6.2,58.06498102,58.10745317,0.983707682,0.064981016
macOS,1.6.3,57.96582898,57.99550065,0.971996066,-0.034171019
Windows,1.2.0,69.67834877,68.2427676,7.993329953,11.67834877
Windows,1.2.1,69.23989087,67.71929943,7.620752575,11.23989087
Windows,1.2.2,69.79847425,68.34529371,8.145847702,11.79847425
Windows,1.3.0,69.97438269,68.22049004,8.378861732,11.97438269
Windows,1.3.1,69.41931509,67.93259413,8.008037853,11.41931509
Windows,1.4.0,69.51410791,68.08235321,7.919321351,11.51410791
Windows,1.4.1,70.06368366,68.55487858,8.284212746,12.06368366
Windows,1.4.2,70.56828573,68.86459353,8.838819923,12.56828573
Windows,1.4.3,69.82715622,68.35279126,8.156902123,11.82715622
Windows,1.4.4,69.40095613,67.90234459,7.903327447,11.40095613
Windows,1.4.5,69.31196591,67.92273039,7.80299488,11.31196591
Windows,1.4.6,69.24093676,67.90236105,7.73419367,11.24093676
Windows,1.4.7,69.56870831,68.11136524,7.995141661,11.56870831
Windows,1.5.1,69.87985111,68.33236362,8.424647154,11.87985111
Windows,1.5.3,69.46175961,68.05512206,7.816077861,11.46175961
Windows,1.5.4,69.60791988,68.16493039,7.979631383,11.60791988
Windows,1.6.0,58.04015153,58.10293128,0.95369204,0.040151535
Windows,1.6.1,58.05115498,58.09898241,0.954157286,0.051154976
Windows,1.6.2,58.02978815,58.08949981,0.984754081,0.029788146
Windows,1.6.3,58.04251716,58.08966553,0.976841876,0.042517156
